,brand,model_name,screen_size (inch),price(₹),ram,storage,cpu_model,operating_system,rating,rating_review,graphics_card_description
63,ASUS,ASUS Vivobook 16,16 Inches,"84,990",16 GB,512 GB,Intel Core 7,Windows 11 Home,4.4 out of 5 stars,28 ratings,Integrated
64,EDNITA,no model_name,no screen_size,163,no ram,no storage,no cpu_model,no operating_system,4.3 out of 5 stars,791 ratings,No description
65,Lenovo,Lenovo V15 G4,15.6 Inches,"42,490",16 GB,512 GB,Ryzen 7,Windows 11,4.1 out of 5 stars,205 ratings,Integrated
66,acer,Travel Lite,14 Inches,"64,880",32 GB,1 TB,Intel Core i7-1355U,Windows 11 Pro,4.0 out of 5 stars,25 ratings,Integrated
67,Lenovo,IdeaPad 1,15.6 Inches,"25,490",8 GB,512 GB,Celeron,Windows 11 Home,3.6 out of 5 stars,16 ratings,Integrated
68,Dell,Inspiron,15.6 Inches,"28,990",8 GB,512 GB,Ryzen 3,Windows 11 Home,4.1 out of 5 stars,121 ratings,Integrated
69,HP,14-he0015QU,35.6 Centimetres,"65,990",16 GB,1 TB,Snapdragon,Windows 11 Home,3.9 out of 5 stars,45 ratings,Integrated
70,HP,HP Laptop,39.6 Centimetres,"48,990",16 GB,512 GB,Core i5,Windows 11 Home,3.7 out of 5 stars,453 ratings,Integrated
71,Apple,"13-inch MacBook Air (M4, 2025)",13.6 Inches,"92,990",16 GB,256 GB,Apple M4,Mac OS,4.6 out of 5 stars,614 ratings,Integrated
72,Dell,Inspiron,15.6 Inches,"54,990",16 GB,1 TB,Core i5,Windows 11 Home,3.8 out of 5 stars,120 ratings,Integrated
73,HP,HP 15,15.6 Inches,"52,280",32 GB,512 GB,Core i5,Windows 11 Pro,1.0 out of 5 stars,1 rating,Integrated
74,Lenovo,ThinkBook 16,16 Inches,"44,310",16 GB,512 GB,Ryzen 5,Windows 11 Home,3.7 out of 5 stars,87 ratings,Integrated
75,Walker,Pro,15.6 Inches,"16,190",8 GB,256 GB,Celeron N4020,Windows 11 Home,3.2 out of 5 stars,12 ratings,Integrated
76,Dell,Inspiron,15.6 Inches,"49,990",16 GB,512 GB,Core i5,Windows 11 Home,3.4 out of 5 stars,175 ratings,Integrated
77,MSI,Katana A17 AI,44 Centimetres,"93,990",16 GB,1 TB,Ryzen 9,Windows 11 Home,4.4 out of 5 stars,54 ratings,Dedicated
78,Lenovo,ThinkPad T14 Gen 5 (Intel),14 Inches,"1,56,990",32 GB,1 TB,Intel Core Ultra 7,Windows 11 Pro,No rating,no rating_review,Integrated
79,MSI,Modern 15 B7M,no screen_size,"36,990",no ram,no storage,no cpu_model,Windows 11 Home,4.1 out of 5 stars,7 ratings,Integrated
80,HP,HP Laptop,39.6 Centimetres,"35,490",12 GB,512 GB,Core i3 Family,Windows 11 Home,4.0 out of 5 stars,642 ratings,Integrated
81,Dell,Vostro 3530,15 Inches,"34,990",16 GB,512 GB,Core i3,Windows 11 Home,3.5 out of 5 stars,90 ratings,Integrated
82,Lenovo,Yoga Slim 9,14 Inches,"1,99,990",32 GB,1 TB,Intel Core Ultra 7,Windows 11 Home,5.0 out of 5 stars,1 rating,Integrated
83,Dell,Inspiron,15.6 Inches,"28,990",8 GB,512 GB,Ryzen 3,Windows 11 Home,4.1 out of 5 stars,121 ratings,Integrated
84,ASUS,ASUS TUF Gaming A16,16 Inches,"97,990",32 GB,1 TB,AMD Ryzen 7,Windows 11 Home,4.0 out of 5 stars,28 ratings,Dedicated
85,Lenovo,IdeaPad Slim 3,no screen_size,"59,990",16 GB,no storage,Others,Windows 11 Home,4.0 out of 5 stars,247 ratings,Integrated
86,ASUS,ASUS V16,16 Inches,"99,990",16 GB,no storage,Intel Core 7,Windows 11 Home,No rating,no rating_review,Dedicated
87,acer,Nitro V 15,15.6 Inches,"62,990",16 GB,no storage,Ryzen 5,Windows 11 Home,4.7 out of 5 stars,27 ratings,Dedicated
88,Lenovo,IdeaPad Slim 3,15.3 Inches,"66,990",24 GB,1 TB,AMD Ryzen 7,Windows 11 Home,4.1 out of 5 stars,25 ratings,Integrated
89,Neopticon,BrowseBook,14.1 Inches,"15,990",8 GB,256 GB,Celeron N4020,Windows 11 Home,3.4 out of 5 stars,25 ratings,Integrated
90,Lenovo,IdeaPad Slim 3,15.6 Inches,"45,490",16 GB,512 GB,Core i5,"Windows 11 Home 64, English",4.2 out of 5 stars,28 ratings,Integrated
91,Dell,Inspiron,15.6 Inches,"54,990",16 GB,1 TB,Core i5,Windows 11 Home,3.8 out of 5 stars,120 ratings,Integrated
92,Tukzer,no model_name,no screen_size,299,no ram,no storage,no cpu_model,no operating_system,4.3 out of 5 stars,"1,675 ratings",No description
93,Lenovo,LOQ,15.6 Inches,"83,990",,512 GB,Ryzen 7,Windows 11 Home,4.1 out of 5 stars,191 ratings,Dedicated
94,Dell,Inspiron 15 3530,15.6 Inches,"46,925",16 GB,512 GB,Core i5,Windows 11 Home,2.9 out of 5 stars,11 ratings,Integrated
95,Dell,Dell Laptop,15.6 Inches,"73,990",,1 TB,Core i5,Windows 11 Home,4.0 out of 5 stars,"1,304 ratings",Dedicated
96,HP,HP Gaming Laptop,16 Inches,"1,53,990",24 GB,1 TB,Ryzen 9,Windows 11 Home,4.0 out of 5 stars,290 ratings,Dedicated
97,ASUS,ASUS Vivobook 15,15.6 Inches,"52,990",16 GB,1 TB,Core i5,Windows 11 Home,3.9 out of 5 stars,21 ratings,Integrated
98,acer,Aspire 3,14 Inches,"29,990",16 GB,512 GB,Core i3,Windows 11 Home,3.6 out of 5 stars,31 ratings,Integrated
99,Dell,Inspiron,14 Inches,"71,800",,1 TB,Core i5,Windows 11 Home,4.1 out of 5 stars,28 ratings,Integrated
100,ASUS,Chromebook,14 Inches,"20,990",8 GB,128 GB,Celeron,Chrome OS,3.6 out of 5 stars,16 ratings,Integrated
101,acer,Aspire 3,14 Inches,"39,990",,512 GB,Core i5,Windows 11 Home,4.2 out of 5 stars,82 ratings,Integrated
102,HP,HP Laptop,40 Centimetres,"3,09,990",32 GB,1 TB,Intel Core Ultra 9,Windows 11 Home,3.6 out of 5 stars,7 ratings,Dedicated
103,Lenovo,Lenovo V14,14 Inches,"46,990",16 GB,no storage,Core i5,Windows 11 Home,3.6 out of 5 stars,42 ratings,Integrated
104,no brand,no model_name,no screen_size,699,no ram,no storage,no cpu_model,no operating_system,3.9 out of 5 stars,"2,247 ratings",No description
105,ZEBRONICS,no model_name,no screen_size,209,no ram,no storage,no cpu_model,Mac OS,3.7 out of 5 stars,93 ratings,No description
106,Lenovo,LOQ,15.6,"1,32,490",16 GB,1 TB,Intel Core i7,Windows 11 Home,4.6 out of 5 stars,3 ratings,Dedicated
107,Primebook,Primebook 2 Max,15.6 Inches,"19,490",8 GB,256 GB,MediaTek Helio,PrimeOS 3.0,4.5 out of 5 stars,128 ratings,Integrated
108,HP,HP Laptop,39.6 Centimetres,"48,990",16 GB,512 GB,Core i5,Windows 11 Home,3.7 out of 5 stars,453 ratings,Integrated
109,Apple,"13-inch MacBook Air (M4, 2025)",13.6 Inches,"90,990",16 GB,256 GB,Apple M4,Mac OS,4.6 out of 5 stars,614 ratings,Integrated
110,Dell,Inspiron,15.6 Inches,"39,490",8 GB,512 GB,Core i3,Windows 11 Home,4.0 out of 5 stars,292 ratings,Integrated
111,no brand,no model_name,no screen_size,"1,709",no ram,no storage,no cpu_model,no operating_system,3.3 out of 5 stars,46 ratings,No description
112,Lenovo,Lenovo V15 G4,15.6 Inches,"43,990",16 GB,512 GB,Ryzen 7,Windows 11 Home,3.9 out of 5 stars,119 ratings,Integrated
113,Lenovo,IdeaPad Slim 3,15.3,"57,490",24 GB,1 TB,Intel Core i5,Windows 11 Home,4.3 out of 5 stars,10 ratings,Integrated
114,Lenovo,IdeaPad Slim 3,15 Inches,"34,990",8 GB,512 GB,Intel Core i3,Windows 11 Home,4.8 out of 5 stars,5 ratings,Integrated
